Gene_ID,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Case_1,Case_2,Case_3,Case_4,Case_5,Case_6
Map2k2,109,63,118,60,93,112,112,132,112,152,77,72
Mapk14,76,61,156,138,150,143,197,98,93,62,63,68
Mapk8,87,95,125,68,177,120,34,67,173,139,103,93
Prkca,225,184,131,218,169,106,203,217,233,243,311,250
Prkcb,111,86,123,178,93,103,63,135,189,91,78,94
Prkcg,118,97,120,220,161,122,125,121,178,199,246,207
Calm1,137,190,186,93,106,107,92,176,168,126,198,164
Calm2,107,365,167,139,96,106,225,139,139,183,113,264
Calm3,29,199,75,79,54,87,71,128,65,73,126,127
Camk4,309,147,351,154,265,254,266,181,297,225,121,152
Ppp3ca,238,108,478,447,225,359,401,245,149,171,428,110
Ppp3cb,128,129,120,64,148,103,74,111,140,127,114,42
Ppp1ca,286,211,214,281,186,163,303,210,401,329,336,412
Slc17a7,108,161,100,60,81,107,45,131,114,63,91,106
Slc32a1,272,125,331,308,181,115,217,162,127,176,165,199
Gad1,82,108,82,90,62,101,31,103,134,64,105,110
Gad2,278,334,203,183,115,129,193,212,135,178,215,448
Slc6a1,163,426,128,278,369,277,475,106,203,315,297,80
Slc1a2,78,129,148,142,77,110,79,133,134,153,123,117
Slc1a3,132,96,41,57,58,105,139,144,84,104,163,90
Gria1,198,89,107,187,92,128,227,212,107,77,185,168
Gria2,94,58,55,31,85,91,129,89,121,118,126,80
Gria3,164,156,183,152,149,170,71,182,285,200,208,74
Grm1,99,318,117,128,127,184,117,56,126,124,163,73
Grm5,133,152,65,156,175,92,90,77,55,140,54,80
Drd1,182,79,134,137,154,106,97,179,125,71,147,131
Drd2,167,153,316,201,219,126,250,157,88,234,175,230
Adora2a,213,283,102,101,190,225,174,141,129,140,143,137
Chrm1,200,181,171,174,117,204,179,146,124,186,120,160
Chrna7,183,34,57,108,71,76,83,117,85,114,68,71
Htr1a,55,133,84,51,60,60,117,167,93,86,114,144
Htr2a,214,178,255,111,182,260,245,307,333,171,208,296
Oprm1,348,138,319,347,227,270,462,348,428,162,363,315
Sod1,398,170,198,525,126,267,586,271,311,536,224,299
Sod2,129,178,90,126,66,179,97,180,115,148,208,78
Cat,54,88,67,101,87,77,126,96,46,154,75,55
Gpx1,82,130,38,27,65,26,99,60,71,84,41,76
Nfe2l2,107,72,113,104,32,118,169,105,74,114,68,72
Keap1,294,335,182,192,380,305,405,285,125,345,55,194
Nos1,132,163,256,210,293,147,126,109,93,51,292,145
Nos2,65,71,48,92,52,73,59,40,96,92,11,56
Ptgs2,75,150,104,180,68,61,75,132,150,49,184,132
Hmox1,86,61,70,45,103,93,69,40,83,67,84,70
