"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","8/21","80/11212",0.1,53.3904761904762,20.3708014738806,8.86238491722479e-13,1.24073388841147e-11,1.57872443869591e-12,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway","9/21","134/11212",0.0671641791044776,35.8592750533049,17.5848005030278,9.87683431615764e-13,1.28398846110049e-11,1.63376206733435e-12,"14281/18706/11651/26417/26413/16476/18708/11652/12912",9
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","9/21","136/11212",0.0661764705882353,35.3319327731092,17.4491232348568,1.13102153007458e-12,1.28653699045983e-11,1.63700484616057e-12,"14281/18706/11651/26417/26413/16476/11461/18708/11652",9
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","9/21","136/11212",0.0661764705882353,35.3319327731092,17.4491232348568,1.13102153007458e-12,1.28653699045983e-11,1.63700484616057e-12,"14281/18706/11651/26417/26413/16476/11461/18708/11652",9
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway","10/21","214/11212",0.0467289719626168,24.9488206497552,15.322567259669,1.52771507704364e-12,1.63555378836437e-11,2.08109793776842e-12,"14810/18706/11651/26417/26413/11461/14812/18708/14811/11652",10
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","10/21","217/11212",0.0460829493087558,24.6039060785605,15.2094497984456,1.7563914140035e-12,1.68905144615982e-11,2.14916898875166e-12,"14281/18706/11651/26417/26413/16476/18708/11652/12323/12322",10
"Human Diseases","Substance dependence","mmu05030","Cocaine addiction","7/21","48/11212",0.145833333333333,77.8611111111111,23.1161092818561,1.85573236623151e-12,1.68905144615982e-11,2.14916898875166e-12,"14810/16476/14812/12064/14811/12912/13385",7
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer","8/21","88/11212",0.0909090909090909,48.5367965367965,19.3926934951551,1.9489055147998e-12,1.68905144615982e-11,2.14916898875166e-12,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","8/21","88/11212",0.0909090909090909,48.5367965367965,19.3926934951551,1.9489055147998e-12,1.68905144615982e-11,2.14916898875166e-12,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance","8/21","93/11212",0.0860215053763441,45.9272913466462,18.8458712946909,3.07190015839743e-12,2.54129922194697e-11,3.23357911410256e-12,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Human Diseases","Cancer: overview","mmu05231","Choline metabolism in cancer","8/21","98/11212",0.0816326530612245,43.5840621963071,18.3409701849151,4.7221605467898e-12,3.73666617180758e-11,4.75457812491421e-12,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","8/21","101/11212",0.0792079207920792,42.2894860914663,18.0559758978542,6.0455025499175e-12,4.35386821503498e-11,5.53991328691554e-12,"18706/11651/26417/26413/16476/18708/11652/13653",8
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","10/21","246/11212",0.040650406504065,21.7034456058846,14.2227454779301,6.14974674511706e-12,4.35386821503498e-11,5.53991328691554e-12,"14281/18706/11651/26417/26413/16476/18708/11652/12912/13653",10
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","9/21","164/11212",0.0548780487804878,29.2996515679442,15.8146125155178,6.21981173576426e-12,4.35386821503498e-11,5.53991328691554e-12,"14281/18706/11651/26417/26413/16476/18708/11652/12912",9
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","8/21","103/11212",0.0776699029126214,41.4683310217291,17.8728495063008,7.09767921959457e-12,4.78436154802301e-11,6.08767808308307e-12,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","8/21","104/11212",0.0769230769230769,41.0695970695971,17.7832480045169,7.68117108974629e-12,4.99276120833509e-11,6.35284826971497e-12,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Organismal Systems","Endocrine system","mmu04935","Growth hormone synthesis, secretion and action","8/21","117/11212",0.0683760683760684,36.5063085063085,16.7236925797084,2.006294901571e-11,1.25912300719284e-10,1.60212297040153e-11,"14281/18706/11651/26417/26413/18708/11652/12912",8
"Organismal Systems","Nervous system","mmu04720","Long-term potentiation","7/21","67/11212",0.104477611940299,55.7810945273632,19.4816369567168,2.14662180024598e-11,1.30228389214923e-10,1.65704138966356e-11,"14810/26417/26413/14812/14811/12323/12322",7
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","8/21","122/11212",0.0655737704918033,35.0101483216237,16.3613842401524,2.81822453185113e-11,1.65457053160292e-10,2.10529506623854e-11,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Human Diseases","Cancer: specific types","mmu05211","Renal cell carcinoma","7/21","70/11212",0.1,53.3904761904762,19.0465869917165,2.94929992024978e-11,1.67741432964206e-10,2.13436178439129e-11,"18706/11651/26417/26413/16476/18708/11652",7
"Organismal Systems","Endocrine system","mmu04917","Prolactin signaling pathway","7/21","74/11212",0.0945945945945946,50.5045045045045,18.5077807839846,4.40802918066797e-11,2.38658767467919e-10,3.03672231595964e-11,"14281/18706/11651/26417/26413/18708/11652",7
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","9/21","204/11212",0.0441176470588235,23.5546218487395,14.0829552461162,4.45846049115893e-11,2.38658767467919e-10,3.03672231595964e-11,"18706/11651/26417/26413/11461/18708/11652/12323/12322",9
"Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse","8/21","137/11212",0.0583941605839416,31.1769204031978,15.3943270648152,7.20177141972833e-11,3.74492113825873e-10,4.76508184162476e-11,"14281/11651/14812/14811/11652/12323/12912/12322",8
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","9/21","223/11212",0.0403587443946188,21.5477258167841,13.425624077101,9.90581599762938e-11,5.00794030991263e-10,6.37216233765632e-11,"14281/18706/11651/26417/26413/16476/18708/11652/12912",9
"Human Diseases","Cancer: specific types","mmu05224","Breast cancer","8/21","147/11212",0.054421768707483,29.0560414642047,14.8322394734459,1.2704313276937e-10,6.24914869297984e-10,7.95149052895063e-11,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation","9/21","231/11212",0.038961038961039,20.8014842300557,13.172862668882,1.35750395837382e-10,6.50172948484305e-10,8.27287730864934e-11,"14281/18706/11651/26417/26413/16476/18708/11652/12912",9
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","9/21","250/11212",0.036,19.2205714285714,12.6207299567897,2.74707420542096e-10,1.28196796252978e-09,1.63119116111366e-10,"14281/18706/11651/26417/14433/26413/16476/11461/11652",9
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","10/21","389/11212",0.025706940874036,13.725058146652,11.0651708183157,5.65039197646514e-10,2.57092834929164e-09,3.27127956532192e-10,"14810/18706/11651/26417/14433/26413/14812/18708/14811/11652",10
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","9/21","273/11212",0.032967032967033,17.6012558869702,12.0290362000364,6.00413403427811e-10,2.66524974204541e-09,3.39129521833424e-10,"14810/18706/26417/26413/14812/18708/14811/12912/13653",9
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","7/21","107/11212",0.0654205607476635,34.9283489096573,15.275404128142,6.15965504115643e-10,2.66918385116778e-09,3.39630102519903e-10,"18706/11651/26417/26413/18708/11652/12912",7
"Environmental Information Processing","Signal transduction","mmu04370","VEGF signaling pathway","6/21","58/11212",0.103448275862069,55.2315270935961,17.9369206251784,7.5085500402515e-10,3.1058093348313e-09,3.95186844223763e-10,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Cancer: specific types","mmu05213","Endometrial cancer","6/21","58/11212",0.103448275862069,55.2315270935961,17.9369206251784,7.5085500402515e-10,3.1058093348313e-09,3.95186844223763e-10,"18706/11651/26417/26413/18708/11652",6
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","7/21","112/11212",0.0625,33.3690476190476,14.9133365683655,8.51076490868515e-10,3.44213158529044e-09,4.37980884189645e-10,"18706/11651/26417/26413/16476/18708/11652",7
"Organismal Systems","Endocrine system","mmu04929","GnRH secretion","6/21","63/11212",0.0952380952380952,50.8480725623583,17.186920306819,1.25321641154871e-09,4.95837797612749e-09,6.30909863937564e-10,"18706/11651/26417/26413/18708/11652",6
"Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway","7/21","120/11212",0.0583333333333333,31.1444444444444,14.3810419347279,1.38524218074875e-09,5.36412929566538e-09,6.82538140570494e-10,"18706/11651/26417/26413/11461/18708/11652",7
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","8/21","202/11212",0.0396039603960396,21.1447430457331,12.5152962186889,1.60881241893479e-09,6.1000804217944e-09,7.76181430187836e-10,"18706/11651/26417/26413/16476/11461/18708/11652",8
"Organismal Systems","Immune system","mmu04664","Fc epsilon RI signaling pathway","6/21","66/11212",0.0909090909090909,48.5367965367965,16.7779824523987,1.67005847160506e-09,6.20307432310451e-09,7.89286495710232e-10,"18706/11651/26417/26413/18708/11652",6
"Organismal Systems","Immune system","mmu04611","Platelet activation","7/21","126/11212",0.0555555555555556,29.6613756613757,14.0149722642985,1.95313366115409e-09,7.1094065266009e-09,9.0460927463979e-10,"18706/11651/26417/26413/11461/18708/11652",7
"Human Diseases","Substance dependence","mmu05034","Alcoholism","8/21","208/11212",0.0384615384615385,20.5347985347985,12.3186378857762,2.02888009484358e-09,7.24031720120651e-09,9.21266503334547e-10,"14810/26417/26413/18212/14812/12064/14811/12912",8
"Human Diseases","Cancer: overview","mmu05230","Central carbon metabolism in cancer","6/21","69/11212",0.0869565217391304,46.4265010351967,16.3957067708504,2.19584539622898e-09,7.68545888680144e-09,9.77906856620195e-10,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","6/21","70/11212",0.0857142857142857,45.7632653061224,16.2737101985215,2.39894093345021e-09,8.23787263939507e-09,1.04819663427815e-09,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Cancer: specific types","mmu05218","Melanoma","6/21","72/11212",0.0833333333333333,44.4920634920635,16.0372921929657,2.85201947209897e-09,9.43759170767294e-09,1.20085030404167e-09,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer","6/21","72/11212",0.0833333333333333,44.4920634920635,16.0372921929657,2.85201947209897e-09,9.43759170767294e-09,1.20085030404167e-09,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","6/21","76/11212",0.0789473684210526,42.1503759398496,15.5924143800959,3.97236831868728e-09,1.26837023508962e-08,1.61388925228292e-09,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia","6/21","76/11212",0.0789473684210526,42.1503759398496,15.5924143800959,3.97236831868728e-09,1.26837023508962e-08,1.61388925228292e-09,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia","7/21","141/11212",0.049645390070922,26.5059101654846,13.2024439514791,4.29982539723127e-09,1.33842726266696e-08,1.7030306407561e-09,"14810/18706/11651/14812/18708/14811/11652",7
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species","8/21","229/11212",0.0349344978165939,18.651694739031,11.6907139290098,4.33885760974453e-09,1.33842726266696e-08,1.7030306407561e-09,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance","6/21","80/11212",0.075,40.0428571428571,15.1808944995771,5.43506189171528e-09,1.64863544048697e-08,2.09774318627607e-09,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance","6/21","81/11212",0.0740740740740741,39.5485008818342,15.0827414789232,5.86310515059493e-09,1.74931989739062e-08,2.22585527718876e-09,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","7/21","149/11212",0.0469798657718121,25.082774049217,12.8191894192976,6.32365735806825e-09,1.85629941801358e-08,2.36197728145164e-09,"14281/18706/11651/16476/11461/18708/11652",7
"Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection","8/21","245/11212",0.0326530612244898,17.4336248785228,11.2660030785361,7.38382109507902e-09,2.13310387191172e-08,2.71418653453197e-09,"14281/18706/11651/26417/26413/16476/18708/11652",8
"Organismal Systems","Endocrine system","mmu04921","Oxytocin signaling pathway","7/21","154/11212",0.0454545454545455,24.2683982683983,12.5946450395737,7.96084226927966e-09,2.2638645203264e-08,2.88056792638409e-09,"14281/26417/26413/16476/11461/12323/12322",7
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","9/21","368/11212",0.0244565217391304,13.0574534161491,10.1878401786938,8.31730172143403e-09,2.32884448200153e-08,2.96324919630038e-09,"18706/11651/26417/26413/18212/18708/12064/11652/12912",9
"Organismal Systems","Circulatory system","mmu04261","Adrenergic signaling in cardiomyocytes","7/21","156/11212",0.0448717948717949,23.957264957265,12.5077964944989,8.70980658923544e-09,2.40179515036492e-08,3.05607248745103e-09,"11651/26417/26413/11652/12323/12912/12322",7
"Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway","6/21","90/11212",0.0666666666666667,35.5936507936508,14.2732733209255,1.11319737877554e-08,3.02390929756938e-08,3.84765786850933e-09,"26417/26413/16476/12323/13653/12322",6
"Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation","6/21","93/11212",0.0645161290322581,34.4454685099846,14.0295347446283,1.35814183420959e-08,3.6350266739139e-08,4.62525082857755e-09,"18706/11651/26417/26413/18708/11652",6
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagosome formation","6/21","94/11212",0.0638297872340425,34.0790273556231,13.9508509560202,1.44907008941653e-08,3.82218487353346e-08,4.86339313000209e-09,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","7/21","174/11212",0.0402298850574713,21.4789272030651,11.7932636374154,1.86019457889219e-08,4.76838610363913e-08,6.0673507391591e-09,"18706/11651/26417/26413/11461/18708/11652",7
"Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma","7/21","174/11212",0.0402298850574713,21.4789272030651,11.7932636374154,1.86019457889219e-08,4.76838610363913e-08,6.0673507391591e-09,"18706/11651/26417/26413/11461/18708/11652",7
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","7/21","180/11212",0.0388888888888889,20.762962962963,11.5786668561781,2.35251261349507e-08,5.94662910633476e-08,7.56656103755725e-09,"11651/26417/26413/11652/12323/12912/12322",7
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","8/21","300/11212",0.0266666666666667,14.2374603174603,10.0672417040717,3.59834301146026e-08,8.97121134364065e-08,1.14150751625271e-08,"14281/11651/26417/26413/16476/18212/12064/11652",8
"Organismal Systems","Nervous system","mmu04724","Glutamatergic synapse","6/21","117/11212",0.0512820512820513,27.3797313797314,12.4250178767959,5.420400505835e-08,1.33312552981347e-07,1.69628465331963e-08,"14810/26417/26413/14812/14811/13385",6
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","7/21","209/11212",0.0334928229665072,17.8819776714514,10.6718148993908,6.59027674496197e-08,1.59924049011077e-07,2.03489246861984e-08,"18706/11651/26417/26413/11461/18708/11652",7
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","7/21","216/11212",0.0324074074074074,17.3024691358025,10.4799756225094,8.26288701741586e-08,1.9787439962759e-07,2.51777720752284e-08,"18706/11651/14433/18708/11652/12323/12322",7
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","9/21","481/11212",0.0187110187110187,9.98990198990199,8.72980963628079,8.47246599792639e-08,2.00258287223715e-07,2.54811007456433e-08,"14810/26417/26413/14812/12064/14811/12323/13385/12322",9
"Environmental Information Processing","Signal transduction","mmu04071","Sphingolipid signaling pathway","6/21","131/11212",0.0458015267175573,24.453653217012,11.6964493797014,1.0657434419003e-07,2.48673469776736e-07,3.16415056974447e-08,"18706/11651/26417/26413/18708/11652",6
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","6/21","133/11212",0.0451127819548872,24.0859291084855,11.6016637123922,1.16654118223811e-07,2.68747462237133e-07,3.41957441828626e-08,"18706/11651/26417/26413/18708/11652",6
"Cellular Processes","Cell motility","mmu04810","Regulation of actin cytoskeleton","7/21","234/11212",0.0299145299145299,15.97150997151,10.0255751137134,1.429261998227e-07,3.25157104596642e-07,4.13733736328868e-08,"18706/11651/26417/26413/11461/18708/11652",7
"Cellular Processes","Cellular community - eukaryotes","mmu04550","Signaling pathways regulating pluripotency of stem cells","6/21","140/11212",0.0428571428571429,22.8816326530612,11.2856889919348,1.58329138157376e-07,3.55751890674597e-07,4.52662903114004e-08,"18706/11651/26417/26413/18708/11652",6
"Organismal Systems","Endocrine system","mmu04910","Insulin signaling pathway","6/21","142/11212",0.0422535211267606,22.5593561368209,11.1996261053155,1.7226269826459e-07,3.77732663664523e-07,4.80631498011539e-08,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Infectious disease: viral","mmu05162","Measles","6/21","142/11212",0.0422535211267606,22.5593561368209,11.1996261053155,1.7226269826459e-07,3.77732663664523e-07,4.80631498011539e-08,"14281/18706/11651/16476/18708/11652",6
"Environmental Information Processing","Signal transduction","mmu04072","Phospholipase D signaling pathway","6/21","149/11212",0.0402684563758389,21.4995206136146,10.9118342103644,2.29231230310893e-07,4.96667665673602e-07,6.31965797849581e-08,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Cancer: specific types","mmu05226","Gastric cancer","6/21","150/11212",0.04,21.3561904761905,10.8723314638996,2.38506452771584e-07,5.10684404757979e-07,6.49800862040228e-08,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","7/21","255/11212",0.0274509803921569,14.6562091503268,9.55546430998829,2.56759617251893e-07,5.43375003951681e-07,6.91396766161769e-08,"18706/11651/26417/26413/18708/11652/12912",7
"Environmental Information Processing","Signal transduction","mmu04150","mTOR signaling pathway","6/21","158/11212",0.0379746835443038,20.2748643761302,10.5695748845341,3.24434902728319e-07,6.78702899960391e-07,8.63589577740231e-08,"18706/11651/26417/26413/18708/11652",6
"Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease","6/21","162/11212",0.037037037037037,19.7742504409171,10.4264472633765,3.76102584962964e-07,7.77848527991584e-07,9.89743644639378e-08,"14281/18706/11651/16476/18708/11652",6
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C","6/21","164/11212",0.0365853658536585,19.5331010452962,10.3567993068258,4.04366780793421e-07,8.2690734948767e-07,1.05216666794267e-07,"18706/11651/26417/26413/18708/11652",6
"Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal","6/21","167/11212",0.0359281437125748,19.1822070145423,10.2546147536237,4.50020656598157e-07,9.10041772231829e-07,1.15794788832274e-07,"18706/11651/26417/26413/18708/11652",6
"Organismal Systems","Aging","mmu04211","Longevity regulating pathway","5/21","90/11212",0.0555555555555556,29.6613756613757,11.8256280902164,5.47803614609915e-07,1.09560722921983e-06,1.39406356523055e-07,"18706/11651/18708/11652/12912",5
"Organismal Systems","Excretory system","mmu04960","Aldosterone-regulated sodium reabsorption","4/21","38/11212",0.105263157894737,56.2005012531328,14.7648099771754,6.44146877026919e-07,1.27429056107499e-06,1.62142234491902e-07,"18706/26417/26413/18708",4
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","6/21","181/11212",0.0331491712707182,17.698500394633,9.81085127282924,7.22843832890748e-07,1.41459760845286e-06,1.79995068744725e-07,"18706/26417/26413/18708/12323/12322",6
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","6/21","182/11212",0.032967032967033,17.6012558869702,9.78106752804268,7.46620525455577e-07,1.44558442162676e-06,1.83937867413468e-07,"18706/11651/26417/26413/18708/11652",6
"Environmental Information Processing","Signaling molecules and interaction","mmu04517","IgSF CAM signaling","7/21","300/11212",0.0233333333333333,12.4577777777778,8.7137725450467,7.71450730505927e-07,1.47793718896925e-06,1.88054471702276e-07,"18706/11651/26417/26413/11461/18708/11652",7
"Organismal Systems","Endocrine system","mmu04916","Melanogenesis","5/21","100/11212",0.05,26.6952380952381,11.1803115483414,9.27271216730175e-07,1.75795168171762e-06,2.23683846141051e-07,"26417/26413/12323/12912/12322",5
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","6/21","194/11212",0.0309278350515464,16.5125184094256,9.44124280272216,1.08567243192103e-06,2.0370348722642e-06,2.59194720588851e-07,"18706/11651/26417/26413/18708/11652",6
"Organismal Systems","Endocrine system","mmu04922","Glucagon signaling pathway","5/21","104/11212",0.0480769230769231,25.6684981684982,10.9481016259639,1.12724486634946e-06,2.09345475179185e-06,2.66373652628228e-07,"11651/11652/12323/12912/12322",5
"Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","5/21","110/11212",0.0454545454545455,24.2683982683983,10.6233036572374,1.48951032472424e-06,2.73829170807891e-06,3.48423467771752e-07,"18706/11651/18708/11652/12912",5
"Human Diseases","Endocrine and metabolic disease","mmu04930","Type II diabetes mellitus","4/21","48/11212",0.0833333333333333,44.4920634920635,13.080311721263,1.67749306536119e-06,3.05303737895737e-06,3.88472078294171e-07,"18706/26417/26413/18708",4
"Organismal Systems","Digestive system","mmu04973","Carbohydrate digestion and absorption","4/21","49/11212",0.0816326530612245,43.5840621963071,12.9405293141479,1.8243848567056e-06,3.28750538535069e-06,4.18306064070071e-07,"18706/11651/18708/11652",4
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","5/21","116/11212",0.0431034482758621,23.0131362889984,10.3234549942894,1.93799250448254e-06,3.45798662564531e-06,4.39998298231329e-07,"14281/26417/26413/12912/13653",5
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","7/21","358/11212",0.0195530726256983,10.43947858473,7.86306717682316,2.52073633026836e-06,4.45411662241593e-06,5.6674705432707e-07,"18706/11651/26417/26413/18708/11652/12912",7
"Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis","6/21","227/11212",0.026431718061674,14.1120201384519,8.64529627826455,2.71255658393808e-06,4.74697402189165e-06,6.04010575370829e-07,"18706/26417/26413/16476/18708/12912",6
"Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway","5/21","127/11212",0.0393700787401575,21.0198725159355,9.82862341085368,3.03173596682867e-06,5.2550090091697e-06,6.6865354656873e-07,"18706/11651/18708/11652/12912",5
"Organismal Systems","Endocrine system","mmu04923","Regulation of lipolysis in adipocytes","4/21","58/11212",0.0689655172413793,36.8210180623974,11.847698048211,3.61348211047917e-06,6.20428060478499e-06,7.89439984414515e-07,"18706/11651/18708/11652",4
"Organismal Systems","Aging","mmu04213","Longevity regulating pathway - multiple species","4/21","61/11212",0.0655737704918033,35.0101483216237,11.5375583733456,4.42842726757837e-06,7.53246507195574e-06,9.58439743105993e-07,"18706/11651/18708/11652",4
"Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway","5/21","140/11212",0.0357142857142857,19.0680272108844,9.3187806884844,4.89558622393605e-06,8.24996937737371e-06,1.04973583749116e-06,"11651/26417/26413/11652/13653",5
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","6/21","255/11212",0.0235294117647059,12.5624649859944,8.09043859045721,5.3153110641104e-06,8.87510654741369e-06,1.12927902858936e-06,"14810/18212/14812/14811/12323/12322",6
