"Gene_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Regulation","ENTREZID"
"Mapk14",106.582171040532,-0.410791278494702,0.334060796141984,-1.22969017388112,0.218813147805161,0.478697209604492,"Not significant","26416"
"Mapk8",105.037915354448,-0.2366329366831,0.34871994382873,-0.678575862581924,0.497406640985741,0.74239797162051,"Not significant","26419"
"Prkca",201.007355427449,0.423762770956754,0.238713874838265,1.77519120429788,0.0758663215554637,0.237082254860824,"Not significant","18750"
"Prkcb",109.071591867637,-0.164694372442562,0.293584962478865,-0.560976866975666,0.574813307286244,0.787415489433211,"Not significant","18751"
"Prkcg",154.954077573299,0.289136501624107,0.270937956625374,1.06716868033332,0.285895672653546,0.571791345307092,"Not significant","18752"
"Calm1",141.751180815725,0.0923096451973144,0.275709379623649,0.334807779566004,0.737770091641117,0.857872199582695,"Not significant","12313"
"Calm2",165.742836867715,0.0496950873084483,0.338023897930796,0.147016490883205,0.88311900391355,0.95461051893438,"Not significant","12314"
"Calm3",90.1502708357495,0.104041651462761,0.363368250849199,0.286325652336475,0.774628712478841,0.881385920016201,"Not significant","12315"
"Camk4",222.688725982603,-0.349028392661127,0.299254164232089,-1.16632760502018,0.243482016256259,0.507254200533874,"Not significant","12326"
"Ppp3ca",272.932893484688,-0.391879949409285,0.372589419846912,-1.05177422797002,0.292903145884568,0.574319893891309,"Not significant","19055"
"Ppp3cb",105.986397869654,-0.286152347524814,0.30100034958559,-0.950671146790299,0.341771339494824,0.610305963383614,"Not significant","19056"
"Ppp1ca",269.528931770715,0.502867214694137,0.243449708912246,2.06558971436438,0.0388672364581092,0.138811558778961,"Not significant","19045"
"Slc17a7",95.1885373661127,-0.243838602081264,0.30569785698183,-0.797645768566043,0.425076083101606,0.696846037871485,"Not significant","72961"
"Slc32a1",193.689998119951,-0.426983437135013,0.292617847689526,-1.45918453199769,0.144514324956758,0.390579256639887,"Not significant","22348"
"Gad1",87.1909952785646,-0.00897108534755445,0.308619065619167,-0.0290684742031611,0.97680997910911,0.97680997910911,"Not significant","14415"
"Gad2",213.33265422414,0.0940352255702228,0.329911092658057,0.285032021241212,0.775619609614257,0.881385920016201,"Not significant","14417"
"Slc6a1",252.566364142884,-0.244967011474456,0.382991545464883,-0.639614671329388,0.522423141891612,0.757957959017871,"Not significant","232333"
"Slc1a2",115.250259108555,0.0327303361904733,0.253664487765917,0.129030028912352,0.897333887798317,0.95461051893438,"Not significant","20511"
"Slc1a3",97.6566154225342,0.484240837452683,0.299973292471817,1.61427983625635,0.106466741717896,0.30419069062256,"Not significant","20512"
"Gria1",143.473023368197,0.215142760721015,0.304423375227636,0.7067222106717,0.479739124148151,0.731845241349276,"Not significant","14799"
"Gria2",87.0952153102834,0.585345002259929,0.287752158656982,2.03419847479822,0.0419315882779632,0.144591683717114,"Not significant","14800"
"Gria3",161.772848446426,-0.021381009745016,0.313371452889845,-0.0682289645334471,0.945603370325302,0.97224770288759,"Not significant","53623"
"Grm1",132.995807535851,-0.640934332525789,0.324144012329734,-1.97731350309134,0.0480062042855341,0.16002068095178,"Not significant","14816"
"Grm5",103.352090288734,-0.725386254995214,0.298090502777618,-2.43344302564502,0.0149559889595716,0.0598239558382863,"Not significant","108071"
"Drd1",125.637518995045,-0.160400514802982,0.280525715750899,-0.571785422144377,0.567467354600944,0.787415489433211,"Not significant","13488"
"Drd2",188.78515933754,-0.150786820266849,0.298580168327362,-0.505012844997551,0.613549814146381,0.804493250780719,"Not significant","13489"
"Adora2a",161.336317040809,-0.450812662281633,0.277502695623324,-1.62453435368987,0.104261814677224,0.30419069062256,"Not significant","11540"
"Chrm1",159.356365347588,-0.274159745503911,0.223622315317473,-1.22599457533874,0.220200716418066,0.478697209604492,"Not significant","12669"
"Chrna7",86.1756548850368,-0.0553205043737993,0.329812583700931,-0.16773315242563,0.866793213806891,0.952520015172408,"Not significant","11441"
"Htr1a",94.044526324823,0.622226621367866,0.290540740479204,2.14161573465255,0.0322244165149468,0.119349690796099,"Not significant","15550"
"Htr2a",224.634253732192,0.292984182073717,0.273747736726686,1.07027070096377,0.284497478475508,0.571791345307092,"Not significant","15558"
"Oprm1",302.045169451223,0.258680710346902,0.291588322808421,0.887143586051149,0.375001600404078,0.646554483455307,"Not significant","18390"
"Sod1",313.40392786078,0.336948043178428,0.337003602099459,0.999835138495005,0.317390297755131,0.602519060083444,"Not significant","20655"
"Sod2",128.567523280833,0.0242889818687521,0.299308025142806,0.0811504531399162,0.935322302158067,0.97224770288759,"Not significant","20656"
"Cat",82.6180396859722,0.126946815021925,0.297053299490424,0.427353660907637,0.669121753660317,0.826076239086811,"Not significant","12359"
"Gpx1",64.7513120365077,0.146481961491455,0.365380248916898,0.400902790793081,0.6884916951318,0.829508066423856,"Not significant","14775"
"Nfe2l2",92.6363583722836,0.0576431180446473,0.315833738880823,0.182510957343916,0.855181756058697,0.95020195117633,"Not significant","18024"
"Keap1",251.93174213507,-0.360880708540259,0.367854755866494,-0.981041301722993,0.326572374628922,0.602519060083444,"Not significant","50868"
"Nos1",165.797996984119,-0.642498196246133,0.353390869716703,-1.81809506499473,0.0690496041512148,0.222740658552306,"Not significant","18125"
"Nos2",61.1966994055836,-0.251377405523846,0.358364667740954,-0.701457002188495,0.483017859290522,0.731845241349276,"Not significant","18126"
"Ptgs2",110.022450861559,0.121896086445069,0.340859646543693,0.357613720723741,0.72063240884759,0.847802833938341,"Not significant","19225"
"Hmox1",71.3073871133163,-0.237509572447246,0.282234484619018,-0.841532787064821,0.400049525151719,0.678050042630032,"Not significant","15368"
