"Gene_ID","logFC","logCPM","F","PValue","FDR","Regulation"
"Gpx1",0.159302439879405,11.9477690500658,0.247273707267278,0.619110632090448,0.810460899070981,"Not significant"
"Foxo1",0.155231306255585,12.1911590671251,0.241410103056666,0.623297330404776,0.810460899070981,"Not significant"
"Hif1a",0.149065833307607,12.9059050558195,0.233844590456525,0.62879352693875,0.810460899070981,"Not significant"
"Drd2",-0.149444292845283,13.4698623912903,0.233844108170198,0.628793880789003,0.810460899070981,"Not significant"
"Map2k2",0.144517963569696,12.5384861925741,0.215597747156545,0.642515950415734,0.810460899070981,"Not significant"
"Sos1",-0.140183749652208,13.4076085474775,0.206758036697649,0.649419065118206,0.810460899070981,"Not significant"
"Nfkb1",0.138864810991573,13.0386852634069,0.204018724154707,0.651594361245367,0.810460899070981,"Not significant"
"Grb2",0.137389689734479,12.8292858072779,0.197954451990384,0.656473328247495,0.810460899070981,"Not significant"
"Rps6kb1",0.133309968358427,12.6329646192594,0.184660104557944,0.667491209764015,0.813216105929245,"Not significant"
"Ptgs2",0.129075653708507,12.7076524683693,0.173620800937775,0.677003154987603,0.813216105929245,"Not significant"
"Cat",0.128327056221753,12.2939083331459,0.166752648009019,0.683101528980566,0.813216105929245,"Not significant"
"Calm3",0.116335479938003,12.4171492890406,0.138296306236641,0.710059409103656,0.828417670332674,"Not significant"
"Mtor",-0.113290372104589,13.0998370808512,0.135929987463738,0.712439196486099,0.828417670332674,"Not significant"
"Calm1",0.102079712050532,13.0622469264415,0.110299471761301,0.739873046713393,0.85042878932574,"Not significant"
"Gad2",0.0993908153277562,13.6444975317572,0.102114713287855,0.749373248952662,0.85156051017348,"Not significant"
"Il1b",0.0648744126370123,11.4286895871419,0.038141288318857,0.845199376845288,0.935931331849014,"Not significant"
"Chrna7",-0.0599825950148425,12.3569550687384,0.0366203475464491,0.848278927344505,0.935931331849014,"Not significant"
"Calm2",0.0574462100530269,13.2806860539653,0.0349695021621843,0.851697511982602,0.935931331849014,"Not significant"
"Nfe2l2",0.0509774012926786,12.4597806436544,0.0266750045477657,0.87029567440919,0.945973559140424,"Not significant"
"Map2k1",0.0406158639834505,12.4462012411259,0.0169251876684668,0.896515974607977,0.963330050230127,"Not significant"
"Slc1a2",0.0343393221254421,12.769106541457,0.0123515854573552,0.911529465580742,0.963330050230127,"Not significant"
"Sod2",0.0328147306616154,12.9237537000974,0.0113539260897558,0.91516354771862,0.963330050230127,"Not significant"
"Becn1",-0.0131224159889979,13.4893276570058,0.00180240924563493,0.966144626163896,0.998967529481315,"Not significant"
"Gria3",-0.0119386688985369,13.2515201936858,0.00151119776802141,0.968998503596876,0.998967529481315,"Not significant"
"Stat3",-0.00809235446521217,12.8383783094385,0.000687966181658321,0.979079830989121,0.999061052029715,"Not significant"
"Bax",-0.00178304755844294,12.4312583651041,3.2553130651913e-05,0.995448804305828,0.999342203560096,"Not significant"
"Gad1",0.000260225687766408,12.3739147732795,6.80017610993464e-07,0.999342203560096,0.999342203560096,"Not significant"
